title,artist
Margaritaville,Jimmy Buffett
Come Monday,Jimmy Buffett
Rich Men North of Richmond,Oliver Anthony Music
All Star,Smash Mouth
Cheeseburger In Paradise,Jimmy Buffett
"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
Paint The Town Red,Doja Cat
A Pirate Looks at Forty,Jimmy Buffett
It's Five O'Clock Somewhere (Live),Jimmy Buffett
Dream Weaver,Gary Wright
Fast Car,Luke Combs
Lil Boo Thang,Paul Russell
Last Time I Saw You,Nicki Minaj
Son of a Son of a Sailor,Jimmy Buffett
Used To Be Young,Miley Cyrus
Cruel Summer,Taylor Swift
Walkin' On the Sun,Smash Mouth
Last Night,Morgan Wallen
Need A Favor,Jelly Roll
I Want to go Home,Oliver Anthony Music
I'm a Believer,Smash Mouth
Try That In A Small Town,Jason Aldean
Fins,Jimmy Buffett
Dance The Night,Dua Lipa
White Horse,Chris Stapleton
Walkin' on the Sun,Smash Mouth
All Star,Smash Mouth
Love Is Alive,Gary Wright
Watermelon Moonshine,Lainey Wilson
90 some Chevy,Oliver Anthony Music
Thinkin’ Bout Me,Morgan Wallen
Southern Cross (Live),Jimmy Buffett
Save Me (with Lainey Wilson),Jelly Roll
Walkin' On the Sun,Smash Mouth
It's Five O'Clock Somewhere (with Jimmy Buffett),Alan Jackson
Aint Gotta Dollar,Oliver Anthony Music
Rockstar,Nickelback
Flowers,Miley Cyrus
Why Don't We Get Drunk,Jimmy Buffett
Religiously,Bailey Zimmerman
Brown Eyed Girl (Live),Jimmy Buffett
Used To Be Young,Miley Cyrus
Volcano,Jimmy Buffett
Dreams,Fleetwood Mac
vampire,Olivia Rodrigo
Indiana Jones,Wayland
Calm Down,Rema & Selena Gomez
Lose Control,Teddy Swims
Keep Going Up,"Timbaland, Nelly Furtado & Justin Timberlake"
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
Let My Heart Stop Missing Now,Radiant Melodies
Latinos For Trump,Trump Latinos
Trip Around the Sun,Jimmy Buffett & Martina McBride
Southern Cross,"Crosby, Stills & Nash"
A Symptom Of Being Human,Shinedown
Have You Ever Seen the Rain,Creedence Clearwater Revival
Beat You There,Will Dempsey
How You Remind Me,Nickelback
I'm a Believer (Radio),Smash Mouth
Forever Young,Rod Stewart
Son Of A Sinner,Jelly Roll
He Went to Paris,Jimmy Buffett
Love You Anyway,Luke Combs
Far Away,Nickelback
Single Soon,Selena Gomez
Whiteboyz,Tom MacDonald & Adam Calhoun
Knee Deep (feat. Jimmy Buffett) [Greatest Hits Version],Zac Brown Band
Come Monday,Jimmy Buffett
Photograph,Nickelback
TRUCK BED,HARDY
Brown Eyed Girl,Jimmy Buffett
"Suddenly, One Day, There Is a Pink Love That Brings Good News",Vy Napi
In Your Love,Tyler Childers
One Particular Harbour,Jimmy Buffett
Ive Got to Get Sober,Oliver Anthony Music
Bury Me in Georgia (Single Edit),Kane Brown
The One Who Brought the Dreams Away,Radiant Melodies
Anti-Hero,Taylor Swift
Enter Sandman,Metallica
Something in the Orange (Z&E's Version),Zach Bryan
We Didn’t Start The Fire,Fall Out Boy
Hard to Say I'm Sorry / Get Away,Chicago
I Want To Go Home (live),Oliver Anthony Music
I'll Stand By You,Pretenders
Tennessee Whiskey,Chris Stapleton
Vertigo,Griff
Gypsy,Fleetwood Mac
Daylight,David Kushner
Rhiannon,Fleetwood Mac
Everything I Love,Morgan Wallen
Barbie World (with Aqua),Nicki Minaj & Ice Spice
Can't Get Enough of You Baby,Smash Mouth
You're the Inspiration,Chicago
Bring Me to Life,Evanescence
Thought You Should Know,Morgan Wallen
Dial Drunk,Noah Kahan & Post Malone
bad idea right?,Olivia Rodrigo
august,Taylor Swift
Unstoppable,Sia
