track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bohemian Rhapsody - Remastered 2011,Queen,4u7EnebtmKWzUH433cf5Qv,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,audio_features,4u7EnebtmKWzUH433cf5Qv,spotify:track:4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv,354320,4
Child in Time,Deep Purple,21cp8L9Pei4AgysZVihjSv,0.331,0.34,9,-14.784,0,0.0369,0.313,0.607,0.234,0.365,126.672,audio_features,21cp8L9Pei4AgysZVihjSv,spotify:track:21cp8L9Pei4AgysZVihjSv,https://api.spotify.com/v1/tracks/21cp8L9Pei4AgysZVihjSv,https://api.spotify.com/v1/audio-analysis/21cp8L9Pei4AgysZVihjSv,619267,4
Paradise By the Dashboard Light,Meat Loaf,2g7gviEeJr6pyxO7G35EWQ,0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.492,173.381,audio_features,2g7gviEeJr6pyxO7G35EWQ,spotify:track:2g7gviEeJr6pyxO7G35EWQ,https://api.spotify.com/v1/tracks/2g7gviEeJr6pyxO7G35EWQ,https://api.spotify.com/v1/audio-analysis/2g7gviEeJr6pyxO7G35EWQ,508333,4
Nights In White Satin - Single Version / Mono,The Moody Blues,6L5BZEcZmD6RBJnimzlyKr,0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,audio_features,6L5BZEcZmD6RBJnimzlyKr,spotify:track:6L5BZEcZmD6RBJnimzlyKr,https://api.spotify.com/v1/tracks/6L5BZEcZmD6RBJnimzlyKr,https://api.spotify.com/v1/audio-analysis/6L5BZEcZmD6RBJnimzlyKr,269107,4
Rain And Tears,Aphrodite's Child,3gE5067onHssnwibln70ef,0.306,0.426,2,-10.943,0,0.0297,0.159,0.0,0.0867,0.326,73.22,audio_features,3gE5067onHssnwibln70ef,spotify:track:3gE5067onHssnwibln70ef,https://api.spotify.com/v1/tracks/3gE5067onHssnwibln70ef,https://api.spotify.com/v1/audio-analysis/3gE5067onHssnwibln70ef,191493,4
Hotel California - 2013 Remaster,Eagles,40riOy7x9W7GXjyGp4pjAv,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4
Suspicious Minds,Elvis Presley,1H5IfYyIIAlgDX8zguUzns,0.487,0.382,7,-10.889,1,0.0309,0.0422,4.74e-06,0.411,0.714,116.557,audio_features,1H5IfYyIIAlgDX8zguUzns,spotify:track:1H5IfYyIIAlgDX8zguUzns,https://api.spotify.com/v1/tracks/1H5IfYyIIAlgDX8zguUzns,https://api.spotify.com/v1/audio-analysis/1H5IfYyIIAlgDX8zguUzns,261280,4
A Whiter Shade Of Pale,Procol Harum,3qitymULqEibr7yknRMKU4,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813,audio_features,3qitymULqEibr7yknRMKU4,spotify:track:3qitymULqEibr7yknRMKU4,https://api.spotify.com/v1/tracks/3qitymULqEibr7yknRMKU4,https://api.spotify.com/v1/audio-analysis/3qitymULqEibr7yknRMKU4,248947,4
Yesterday - Remastered 2009,The Beatles,3BQHpFgAp4l80e1XslIjNI,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529,audio_features,3BQHpFgAp4l80e1XslIjNI,spotify:track:3BQHpFgAp4l80e1XslIjNI,https://api.spotify.com/v1/tracks/3BQHpFgAp4l80e1XslIjNI,https://api.spotify.com/v1/audio-analysis/3BQHpFgAp4l80e1XslIjNI,125667,4
"You're The First, The Last, My Everything - Edit",Barry White,3rqXP37YkEnizabzjM7uIu,0.631,0.59,5,-12.138,1,0.0297,0.00367,0.00299,0.0537,0.927,130.145,audio_features,3rqXP37YkEnizabzjM7uIu,spotify:track:3rqXP37YkEnizabzjM7uIu,https://api.spotify.com/v1/tracks/3rqXP37YkEnizabzjM7uIu,https://api.spotify.com/v1/audio-analysis/3rqXP37YkEnizabzjM7uIu,208933,4
Eloise,Barry Ryan,6z9XVXX8AXxVunhocuLTMe,0.425,0.591,0,-11.996,1,0.0321,0.22,0.0,0.355,0.461,131.087,audio_features,6z9XVXX8AXxVunhocuLTMe,spotify:track:6z9XVXX8AXxVunhocuLTMe,https://api.spotify.com/v1/tracks/6z9XVXX8AXxVunhocuLTMe,https://api.spotify.com/v1/audio-analysis/6z9XVXX8AXxVunhocuLTMe,345173,4
Angie - Remastered 2009,The Rolling Stones,1GcVa4jFySlun4jLSuMhiq,0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302,audio_features,1GcVa4jFySlun4jLSuMhiq,spotify:track:1GcVa4jFySlun4jLSuMhiq,https://api.spotify.com/v1/tracks/1GcVa4jFySlun4jLSuMhiq,https://api.spotify.com/v1/audio-analysis/1GcVa4jFySlun4jLSuMhiq,272000,4
I Want To Break Free - Single Remix,Queen,2AkmdLbVKS1steeZdy8H1l,0.795,0.435,4,-8.927,1,0.0324,0.0841,0.00026,0.0763,0.596,108.95,audio_features,2AkmdLbVKS1steeZdy8H1l,spotify:track:2AkmdLbVKS1steeZdy8H1l,https://api.spotify.com/v1/tracks/2AkmdLbVKS1steeZdy8H1l,https://api.spotify.com/v1/audio-analysis/2AkmdLbVKS1steeZdy8H1l,258013,4
Waterloo,ABBA,3Dy4REq8O09IlgiwuHQ3sk,0.445,0.949,2,-4.682,1,0.0471,0.395,8.18e-06,0.0902,0.653,147.604,audio_features,3Dy4REq8O09IlgiwuHQ3sk,spotify:track:3Dy4REq8O09IlgiwuHQ3sk,https://api.spotify.com/v1/tracks/3Dy4REq8O09IlgiwuHQ3sk,https://api.spotify.com/v1/audio-analysis/3Dy4REq8O09IlgiwuHQ3sk,168960,4
Think,Aretha Franklin,0jkBzn7J5jc889TYxwvXy6,0.69,0.75,6,-6.449,1,0.0442,0.374,0.0,0.603,0.905,110.102,audio_features,0jkBzn7J5jc889TYxwvXy6,spotify:track:0jkBzn7J5jc889TYxwvXy6,https://api.spotify.com/v1/tracks/0jkBzn7J5jc889TYxwvXy6,https://api.spotify.com/v1/audio-analysis/0jkBzn7J5jc889TYxwvXy6,138720,4
